Date,Regions,Internal Displced People
,sahel,493187
,sud-ouest,9902
08/2021,boucle du mouhoun,47523
,cascades,10109
,centre,1051
,centre-est,33221
,centre-nord,494061
,centre-ouest,20973
,centre-sud,4010
,est,136764
,hauts-bassins,23191
,nord,125985
,plateau central,17786
,sahel,498802
,sud-ouest,9902
09/2021,boucle du mouhoun,47573
,cascades,15596
,centre,1051
,centre-est,32352
,centre-nord,466314
,centre-ouest,20960
,centre-sud,4359
,est,143246
,hauts-bassins,23216
,nord,128162
,plateau central,18081
,sahel,493708
,sud-ouest,13067
10/2021,boucle du mouhoun,47573
,cascades,15626
,centre,1051
,centre-est,33815
,centre-nord,510110
,centre-ouest,20960
,centre-sud,4359
,est,146960
,hauts-bassins,23943
,nord,142107
,plateau central,11851
,sahel,510279
,sud-ouest,13067
11/2021,boucle du mouhoun,50042
,cascades,15626
,centre,1051
,centre-est,34766
,centre-nord,518947
,centre-ouest,20960
,centre-sud,4359
,est,148191
,hauts-bassins,24739
,nord,143544
,plateau central,12577
,sahel,510279
,sud-ouest,16694
12/2021,boucle du mouhoun,50054
,cascades,17793
,centre,1051
,centre-est,34805
,centre-nord,566132
,centre-ouest,20960
,centre-sud,4429
,est,147990
,hauts-bassins,24825
,nord,166367
,plateau central,12588
,sahel,512916
,sud-ouest,20066
01/2022,boucle du mouhoun,57516
,cascades,19133
,centre,100
,centre-est,38999
,centre-nord,626602
,centre-ouest,20960
,centre-sud,4429
,est,151706
,hauts-bassins,32035
,nord,207096
,plateau central,16628
,sahel,546385
,sud-ouest,20066
02/2022,boucle du mouhoun,62669
,cascades,19456
,centre,1051
,centre-est,38999
,centre-nord,652159
,centre-ouest,20960
,centre-sud,4429
,est,156485
,hauts-bassins,33062
,nord,212434
,plateau central,16643
,sahel,575870
,sud-ouest,20066
03/2022,boucle du mouhoun,77001
,cascades,20291
,centre,1051
,centre-est,43383
,centre-nord,655891
,centre-ouest,20960
,centre-sud,4429
,est,162699
,hauts-bassins,38095
,nord,218695
,plateau central,18139
,sahel,568598
,sud-ouest,20066
04/2022,boucle du mouhoun,80938
,cascades,20911
,centre,6761
,centre-est,45156
,centre-nord,657041
,centre-ouest,30076
,centre-sud,5088
,est,170416
,hauts-bassins,39367
,nord,222169
,plateau central,20307
,sahel,574096
,sud-ouest,29824
04/2022,boucle du mouhoun,72961
,cascades,13878
,centre,6761
,centre-est,44862
,centre-nord,456198
,centre-ouest,30076
,centre-sud,5088
,est,162210
,hauts-bassins,36835
,nord,203814
,plateau central,20001
,sahel,437504
,sud-ouest,29824
09/2022,boucle du mouhoun,83483
,cascades,16562
,centre,9875
,centre-est,53257
,centre-nord,468343
,centre-ouest,30076
,centre-sud,5740
,est,191623
,hauts-bassins,49660
,nord,249292
,plateau central,31654
,sahel,480870
,sud-ouest,48897
10/2022,boucle du mouhoun,84948
,cascades,17037
,centre,9875
,centre-est,53833
,centre-nord,468482
,centre-ouest,39401
,centre-sud,8528
,est,195005
,hauts-bassins,51148
,nord,249564
,plateau central,35399
,sahel,496804
,sud-ouest,51891
