,Date,Regions,Internal Displced People
172,2020-06-01,Centre-Ouest,4705
173,2020-06-01,Centre-Sud,1773
174,2020-06-01,Est,65348
175,2020-06-01,Hauts-Bassins,11378
176,2020-06-01,Nord,71784
177,2020-06-01,Plateau Central,13832
178,2020-06-01,Sahel,310066
179,2020-06-01,Sud-Ouest,3063
180,2020-07-01,Boucle du Mouhoun,36834
181,2020-07-01,Cascades,7529
182,2020-07-01,Centre,1051
183,2020-07-01,Centre-Est,23392
184,2020-07-01,Centre-Nord,389501
185,2020-07-01,Centre-Ouest,4705
186,2020-07-01,Centre-Sud,2325
187,2020-07-01,Est,65348
188,2020-07-01,Hauts-Bassins,11394
189,2020-07-01,Nord,74114
190,2020-07-01,Plateau Central,14460
191,2020-07-01,Sahel,344528
192,2020-07-01,Sud-Ouest,3563
193,2020-08-01,Boucle du Mouhoun,37015
194,2020-08-01,Cascades,7729
195,2020-08-01,Centre,1051
196,2020-08-01,Centre-Est,23392
197,2020-08-01,Centre-Nord,416136
198,2020-08-01,Centre-Ouest,11126
199,2020-08-01,Centre-Sud,2325
200,2020-08-01,Est,66325
201,2020-08-01,Hauts-Bassins,11429
202,2020-08-01,Nord,74114
203,2020-08-01,Plateau Central,14460
204,2020-08-01,Sahel,344569
205,2020-08-01,Sud-Ouest,3563
206,2020-09-01,Boucle du Mouhoun,44859
207,2020-09-01,Cascades,7729
208,2020-09-01,Centre,1051
209,2020-09-01,Centre-Est,23392
210,2020-09-01,Centre-Nord,422267
211,2020-09-01,Centre-Ouest,11126
212,2020-09-01,Centre-Sud,2325
213,2020-09-01,Est,66460
214,2020-09-01,Hauts-Bassins,18281
215,2020-09-01,Nord,74527
216,2020-09-01,Plateau Central,14460
217,2020-09-01,Sahel,344569
218,2020-09-01,Sud-Ouest,3563
219,2020-11-01,Boucle du Mouhoun,44921
220,2020-11-01,Cascades,7783
221,2020-11-01,Centre,1051
222,2020-11-01,Centre-Est,25533
223,2020-11-01,Centre-Nord,430191
224,2020-11-01,Centre-Ouest,11126
225,2020-11-01,Centre-Sud,2325
226,2020-11-01,Est,68027
227,2020-11-01,Hauts-Bassins,19859
228,2020-11-01,Nord,76218
229,2020-11-01,Plateau Central,14601
230,2020-11-01,Sahel,344569
231,2020-11-01,Sud-Ouest,3563
232,2020-12-01,Boucle du Mouhoun,44902
233,2020-12-01,Cascades,8098
234,2020-12-01,Centre,1051
235,2020-12-01,Centre-Est,28446
236,2020-12-01,Centre-Nord,433597
237,2020-12-01,Centre-Ouest,11126
238,2020-12-01,Centre-Sud,4008
239,2020-12-01,Est,71394
240,2020-12-01,Hauts-Bassins,20571
241,2020-12-01,Nord,76953
242,2020-12-01,Plateau Central,15199
243,2020-12-01,Sahel,352402
