Date,Region,PDI
2020-06-07,Centre-Nord,387203.0
2020-06-07,Centre-Ouest,4705.0
2020-06-07,Centre-Sud,1773.0
2020-06-07,Est,65348.0
2020-06-07,Hauts-Bassins,11378.0
2020-06-07,Nord,71784.0
2020-06-07,Plateau Central,13832.0
2020-06-07,Sahel,310066.0
2020-06-07,Sud-Ouest,3063.0
2020-07-09,Boucle du Mouhoun,36834.0
2020-07-09,Cascades,7529.0
2020-07-09,Centre,1051.0
2020-07-09,Centre-Est,23392.0
2020-07-09,Centre-Nord,389501.0
2020-07-09,Centre-Ouest,4705.0
2020-07-09,Centre-Sud,2325.0
2020-07-09,Est,65348.0
2020-07-09,Hauts-Bassins,11394.0
2020-07-09,Nord,74114.0
2020-07-09,Plateau Central,14460.0
2020-07-09,Sahel,344528.0
2020-07-09,Sud-Ouest,3563.0
2020-08-08,Boucle du Mouhoun,37015.0
2020-08-08,Cascades,7729.0
2020-08-08,Centre,1051.0
2020-08-08,Centre-Est,23392.0
2020-08-08,Centre-Nord,416136.0
2020-08-08,Centre-Ouest,11126.0
2020-08-08,Centre-Sud,2325.0
2020-08-08,Est,66325.0
2020-08-08,Hauts-Bassins,11429.0
2020-08-08,Nord,74114.0
2020-08-08,Plateau Central,14460.0
2020-08-08,Sahel,344569.0
2020-08-08,Sud-Ouest,3563.0
2020-09-08,Boucle du Mouhoun,44859.0
2020-09-08,Cascades,7729.0
2020-09-08,Centre,1051.0
2020-09-08,Centre-Est,23392.0
2020-09-08,Centre-Nord,422267.0
2020-09-08,Centre-Ouest,11126.0
2020-09-08,Centre-Sud,2325.0
2020-09-08,Est,66460.0
2020-09-08,Hauts-Bassins,18281.0
2020-09-08,Nord,74527.0
2020-09-08,Plateau Central,14460.0
2020-09-08,Sahel,344569.0
2020-09-08,Sud-Ouest,3563.0
2020-11-10,Boucle du Mouhoun,44921.0
2020-11-10,Cascades,7783.0
2020-11-10,Centre,1051.0
2020-11-10,Centre-Est,25533.0
2020-11-10,Centre-Nord,430191.0
2020-11-10,Centre-Ouest,11126.0
2020-11-10,Centre-Sud,2325.0
2020-11-10,Est,68027.0
2020-11-10,Hauts-Bassins,19859.0
2020-11-10,Nord,76218.0
2020-11-10,Plateau Central,14601.0
2020-11-10,Sahel,344569.0
2020-11-10,Sud-Ouest,3563.0
2020-12-31,Boucle du Mouhoun,44902.0
2020-12-31,Cascades,8098.0
2020-12-31,Centre,1051.0
2020-12-31,Centre-Est,28446.0
2020-12-31,Centre-Nord,433597.0
2020-12-31,Centre-Ouest,11126.0
2020-12-31,Centre-Sud,4008.0
2020-12-31,Est,71394.0
2020-12-31,Hauts-Bassins,20571.0
2020-12-31,Nord,76953.0
2020-12-31,Plateau Central,15199.0
2020-12-31,Sahel,352402.0
2020-12-31,Sud-Ouest,7246.0
2021-01-31,Boucle du Mouhoun,44899.0
2021-01-31,Cascades,8253.0
2021-01-31,Centre,1051.0
2021-01-31,Centre-Est,29142.0
2021-01-31,Centre-Nord,438557.0
2021-01-31,Centre-Ouest,11126.0
2021-01-31,Centre-Sud,4008.0
2021-01-31,Est,78533.0
2021-01-31,Hauts-Bassins,20960.0
2021-01-31,Nord,84697.0
2021-01-31,Plateau Central,15269.0
2021-01-31,Sahel,353721.0
2021-01-31,Sud-Ouest,7246.0
2021-02-28,Boucle du Mouhoun,44899.0
2021-02-28,Cascades,8253.0
2021-02-28,Centre,1051.0
2021-02-28,Centre-Est,29142.0
2021-02-28,Centre-Nord,445869.0
2021-02-28,Centre-Ouest,11126.0
2021-02-28,Centre-Sud,4008.0
2021-02-28,Est,84827.0
2021-02-28,Hauts-Bassins,21221.0
2021-02-28,Nord,92826.0
2021-02-28,Plateau Central,15583.0
2021-02-28,Sahel,355909.0
2021-02-28,Sud-Ouest,7246.0
2021-03-31,Boucle du Mouhoun,44913.0
2021-03-31,Cascades,8629.0
2021-03-31,Centre,1051.0
2021-03-31,Centre-Est,30888.0
2021-03-31,Centre-Nord,462690.0
2021-03-31,Centre-Ouest,11126.0
2021-03-31,Centre-Sud,4024.0
2021-03-31,Est,89889.0
2021-03-31,Hauts-Bassins,21609.0
2021-03-31,Nord,100254.0
2021-03-31,Plateau Central,16408.0
2021-03-31,Sahel,347159.0
2021-03-31,Sud-Ouest,9059.0
2021-04-30,Boucle du Mouhoun,44913.0
2021-04-30,Cascades,9875.0
2021-04-30,Centre,1051.0
2021-04-30,Centre-Est,31258.0
2021-04-30,Centre-Nord,467738.0
2021-04-30,Centre-Ouest,11126.0
2021-04-30,Centre-Sud,4024.0
2021-04-30,Est,96223.0
2021-04-30,Hauts-Bassins,21836.0
2021-04-30,Nord,102295.0
2021-04-30,Plateau Central,16570.0
2021-04-30,Sahel,402786.0
2021-04-30,Sud-Ouest,9059.0
2021-05-31,Boucle du Mouhoun,44942.0
2021-05-31,Cascades,9980.0
2021-05-31,Centre,1051.0
2021-05-31,Centre-Est,31741.0
2021-05-31,Centre-Nord,469442.0
2021-05-31,Centre-Ouest,11126.0
2021-05-31,Centre-Sud,4024.0
2021-05-31,Est,98627.0
2021-05-31,Hauts-Bassins,22205.0
2021-05-31,Nord,105536.0
2021-05-31,Plateau Central,16820.0
2021-05-31,Sahel,428171.0
2021-05-31,Sud-Ouest,9751.0
2021-06-30,Boucle du Mouhoun,45597.0
2021-06-30,Cascades,10017.0
2021-06-30,Centre,1051.0
2021-06-30,Centre-Est,32051.0
2021-06-30,Centre-Nord,476225.0
2021-06-30,Centre-Ouest,11126.0
2021-06-30,Centre-Sud,4024.0
2021-06-30,Est,103927.0
2021-06-30,Hauts-Bassins,22542.0
2021-06-30,Nord,107012.0
2021-06-30,Plateau Central,16909.0
2021-06-30,Sahel,471688.0
2021-06-30,Sud-Ouest,9902.0
2021-07-31,Boucle du Mouhoun,46315.0
2021-07-31,Cascades,10017.0
2021-07-31,Centre,1051.0
2021-07-31,Centre-Est,32686.0
2021-07-31,Centre-Nord,483546.0
2021-07-31,Centre-Ouest,20973.0
2021-07-31,Centre-Sud,4010.0
2021-07-31,Est,113867.0
2021-07-31,Hauts-Bassins,22823.0
2021-07-31,Nord,113155.0
2021-07-31,Plateau Central,16632.0
2021-07-31,Sahel,493187.0
2021-07-31,Sud-Ouest,9902.0
2021-08-31,Boucle du Mouhoun,47523.0
2021-08-31,Cascades,10109.0
2021-08-31,Centre,1051.0
2021-08-31,Centre-Est,33221.0
2021-08-31,Centre-Nord,494061.0
2021-08-31,Centre-Ouest,20973.0
2021-08-31,Centre-Sud,4010.0
2021-08-31,Est,136764.0
2021-08-31,Hauts-Bassins,23191.0
2021-08-31,Nord,125985.0
2021-08-31,Plateau Central,17786.0
2021-08-31,Sahel,498802.0
2021-08-31,Sud-Ouest,9902.0
2021-09-30,Boucle du Mouhoun,47573.0
2021-09-30,Cascades,15596.0
2021-09-30,Centre,1051.0
2021-09-30,Centre-Est,32352.0
2021-09-30,Centre-Nord,466314.0
2021-09-30,Centre-Ouest,20960.0
2021-09-30,Centre-Sud,4359.0
2021-09-30,Est,143246.0
2021-09-30,Hauts-Bassins,23216.0
2021-09-30,Nord,128162.0
2021-09-30,Plateau Central,18081.0
2021-09-30,Sahel,493708.0
2021-09-30,Sud-Ouest,13067.0
2021-10-31,Boucle du Mouhoun,47573.0
