,Year,Region,EVENT_TYPE,SUM_CONFLICTS
133,2021,Centre-Ouest,Demonstrations,11
134,2021,Centre-Ouest,Non-violent actions,1
135,2021,Centre-Ouest,Violent events,1
136,2021,Centre-Sud,Demonstrations,7
137,2021,Centre-Sud,Non-violent actions,1
138,2021,Centre-Sud,Violent events,5
139,2021,Est,Demonstrations,23
140,2021,Est,Non-violent actions,97
141,2021,Est,Violent events,317
142,2021,Hauts-Bassins,Demonstrations,16
143,2021,Hauts-Bassins,Non-violent actions,2
144,2021,Hauts-Bassins,Violent events,2
145,2021,Nord,Demonstrations,23
146,2021,Nord,Non-violent actions,38
147,2021,Nord,Violent events,150
148,2021,Plateau-Central,Demonstrations,3
149,2021,Plateau-Central,Non-violent actions,0
150,2021,Plateau-Central,Violent events,0
151,2021,Sahel,Demonstrations,13
152,2021,Sahel,Non-violent actions,96
153,2021,Sahel,Violent events,511
154,2021,Sud-Ouest,Demonstrations,12
155,2021,Sud-Ouest,Non-violent actions,4
156,2021,Sud-Ouest,Violent events,13
157,2022,Boucle du Mouhoun,Demonstrations,3
158,2022,Boucle du Mouhoun,Non-violent actions,141
159,2022,Boucle du Mouhoun,Violent events,138
160,2022,Cascades,Demonstrations,6
161,2022,Cascades,Non-violent actions,13
162,2022,Cascades,Violent events,58
163,2022,Centre,Demonstrations,56
164,2022,Centre,Non-violent actions,4
165,2022,Centre,Violent events,11
166,2022,Centre-Est,Demonstrations,6
167,2022,Centre-Est,Non-violent actions,48
168,2022,Centre-Est,Violent events,82
169,2022,Centre-Nord,Demonstrations,11
170,2022,Centre-Nord,Non-violent actions,161
171,2022,Centre-Nord,Violent events,234
172,2022,Centre-Ouest,Demonstrations,3
173,2022,Centre-Ouest,Non-violent actions,11
174,2022,Centre-Ouest,Violent events,10
175,2022,Centre-Sud,Demonstrations,6
176,2022,Centre-Sud,Non-violent actions,2
177,2022,Centre-Sud,Violent events,4
178,2022,Est,Demonstrations,15
179,2022,Est,Non-violent actions,255
180,2022,Est,Violent events,343
181,2022,Hauts-Bassins,Demonstrations,24
182,2022,Hauts-Bassins,Non-violent actions,18
183,2022,Hauts-Bassins,Violent events,35
184,2022,Nord,Demonstrations,15
185,2022,Nord,Non-violent actions,103
186,2022,Nord,Violent events,157
187,2022,Plateau-Central,Demonstrations,3
188,2022,Plateau-Central,Non-violent actions,0
189,2022,Plateau-Central,Violent events,0
190,2022,Sahel,Demonstrations,14
191,2022,Sahel,Non-violent actions,101
192,2022,Sahel,Violent events,408
193,2022,Sud-Ouest,Demonstrations,3
194,2022,Sud-Ouest,Non-violent actions,12
195,2022,Sud-Ouest,Violent events,37
