,Location,Date,Precipitation(mm)
111,Bobo-Dioulasso,2000-04-01,20.4
112,Bobo-Dioulasso,2000-05-01,106.4
113,Bobo-Dioulasso,2000-06-01,208.8
114,Bobo-Dioulasso,2000-07-01,232.1
115,Bobo-Dioulasso,2000-08-01,322.6
116,Bobo-Dioulasso,2000-09-01,218.4
117,Bobo-Dioulasso,2000-10-01,59.4
118,Bobo-Dioulasso,2000-11-01,0.0
119,Bobo-Dioulasso,2000-12-01,0.0
120,Bobo-Dioulasso,2001-01-01,0.0
121,Bobo-Dioulasso,2001-02-01,0.0
122,Bobo-Dioulasso,2001-03-01,26.8
123,Bobo-Dioulasso,2001-04-01,21.6
124,Bobo-Dioulasso,2001-05-01,64.0
125,Bobo-Dioulasso,2001-06-01,130.2
126,Bobo-Dioulasso,2001-07-01,147.8
127,Bobo-Dioulasso,2001-08-01,300.8
128,Bobo-Dioulasso,2001-09-01,150.8
129,Bobo-Dioulasso,2001-10-01,76.8
130,Bobo-Dioulasso,2001-11-01,5.7
131,Bobo-Dioulasso,2001-12-01,0.0
132,Bobo-Dioulasso,2002-01-01,0.0
133,Bobo-Dioulasso,2002-02-01,0.0
134,Bobo-Dioulasso,2002-03-01,27.1
135,Bobo-Dioulasso,2002-04-01,47.6
136,Bobo-Dioulasso,2002-05-01,46.3
137,Bobo-Dioulasso,2002-06-01,72.5
138,Bobo-Dioulasso,2002-07-01,175.7
139,Bobo-Dioulasso,2002-08-01,218.7
140,Bobo-Dioulasso,2002-09-01,166.5
141,Bobo-Dioulasso,2002-10-01,53.2
142,Bobo-Dioulasso,2002-11-01,0.0
143,Bobo-Dioulasso,2002-12-01,0.0
144,Bobo-Dioulasso,2003-01-01,0.0
145,Bobo-Dioulasso,2003-02-01,0.0
146,Bobo-Dioulasso,2003-03-01,17.5
147,Bobo-Dioulasso,2003-04-01,93.9
148,Bobo-Dioulasso,2003-05-01,101.3
149,Bobo-Dioulasso,2003-06-01,107.8
150,Bobo-Dioulasso,2003-07-01,297.1
151,Bobo-Dioulasso,2003-08-01,412.3
152,Bobo-Dioulasso,2003-09-01,74.9
153,Bobo-Dioulasso,2003-10-01,50.3
154,Bobo-Dioulasso,2003-11-01,0.8
155,Bobo-Dioulasso,2003-12-01,0.0
156,Bobo-Dioulasso,2004-01-01,0.0
157,Bobo-Dioulasso,2004-02-01,0.1
158,Bobo-Dioulasso,2004-03-01,11.4
159,Bobo-Dioulasso,2004-04-01,50.5
160,Bobo-Dioulasso,2004-05-01,97.8
161,Bobo-Dioulasso,2004-06-01,98.0
162,Bobo-Dioulasso,2004-07-01,252.2
163,Bobo-Dioulasso,2004-08-01,156.3
164,Bobo-Dioulasso,2004-09-01,102.3
165,Bobo-Dioulasso,2004-10-01,45.2
166,Bobo-Dioulasso,2004-11-01,14.9
167,Bobo-Dioulasso,2004-12-01,0.0
168,Bobo-Dioulasso,2005-01-01,0.0
169,Bobo-Dioulasso,2005-02-01,5.1
170,Bobo-Dioulasso,2005-03-01,16.0
171,Bobo-Dioulasso,2005-04-01,11.1
172,Bobo-Dioulasso,2005-05-01,55.1
173,Bobo-Dioulasso,2005-06-01,156.5
174,Bobo-Dioulasso,2005-07-01,130.0
175,Bobo-Dioulasso,2005-08-01,160.8
176,Bobo-Dioulasso,2005-09-01,248.2
177,Bobo-Dioulasso,2005-10-01,34.9
178,Bobo-Dioulasso,2005-11-01,0.0
179,Bobo-Dioulasso,2005-12-01,0.0
180,Bobo-Dioulasso,2006-01-01,0.0
181,Bobo-Dioulasso,2006-02-01,0.0
182,Bobo-Dioulasso,2006-03-01,0.1
183,Bobo-Dioulasso,2006-04-01,23.8
184,Bobo-Dioulasso,2006-05-01,140.2
185,Bobo-Dioulasso,2006-06-01,154.1
186,Bobo-Dioulasso,2006-07-01,115.9
187,Bobo-Dioulasso,2006-08-01,249.9
188,Bobo-Dioulasso,2006-09-01,276.4
189,Bobo-Dioulasso,2006-10-01,144.6
190,Bobo-Dioulasso,2006-11-01,0.0
191,Bobo-Dioulasso,2006-12-01,0.0
192,Bobo-Dioulasso,2007-01-01,0.0
193,Bobo-Dioulasso,2007-02-01,0.0
194,Bobo-Dioulasso,2007-03-01,2.6
195,Bobo-Dioulasso,2007-04-01,94.1
196,Bobo-Dioulasso,2007-05-01,20.7
197,Bobo-Dioulasso,2007-06-01,133.1
198,Bobo-Dioulasso,2007-07-01,304.9
199,Bobo-Dioulasso,2007-08-01,252.3
200,Bobo-Dioulasso,2007-09-01,99.9
201,Bobo-Dioulasso,2007-10-01,26.3
202,Bobo-Dioulasso,2007-11-01,14.4
203,Bobo-Dioulasso,2007-12-01,0.0
204,Bobo-Dioulasso,2008-01-01,0.0
205,Bobo-Dioulasso,2008-02-01,0.0
206,Bobo-Dioulasso,2008-03-01,2.7
207,Bobo-Dioulasso,2008-04-01,1.2
208,Bobo-Dioulasso,2008-05-01,79.2
209,Bobo-Dioulasso,2008-06-01,84.3
210,Bobo-Dioulasso,2008-07-01,340.9
211,Bobo-Dioulasso,2008-08-01,233.7
212,Bobo-Dioulasso,2008-09-01,286.0
213,Bobo-Dioulasso,2008-10-01,49.1
214,Bobo-Dioulasso,2008-11-01,0.0
215,Bobo-Dioulasso,2008-12-01,0.0
216,Bobo-Dioulasso,2009-01-01,0.0
217,Bobo-Dioulasso,2009-02-01,0.0
218,Bobo-Dioulasso,2009-03-01,21.2
