"","Lat","Lon","Z50","Z100"
"1","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"2","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"3","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"4","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"5","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"6","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"7","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"8","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"9","11.15","-1.15","1227.30848831763","1510.11114926494"
"10","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"11","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"12","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"13","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"14","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"15","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"16","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"17","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"18","11.15","-1.15","1227.30848831763","1510.11114926494"
"19","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"20","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"21","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"22","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"23","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"24","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"25","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"26","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"27","11.15","-1.15","1227.30848831763","1510.11114926494"
"28","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"29","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"30","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"31","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"32","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"33","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"34","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"35","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"36","11.15","-1.15","1227.30848831763","1510.11114926494"
"37","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"38","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"39","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"40","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"41","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"42","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"43","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"44","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"45","11.15","-1.15","1227.30848831763","1510.11114926494"
"46","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"47","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"48","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"49","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"50","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"51","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"52","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"53","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"54","11.15","-1.15","1227.30848831763","1510.11114926494"
"55","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"56","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"57","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"58","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"59","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"60","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"61","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"62","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"63","11.15","-1.15","1227.30848831763","1510.11114926494"
"64","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"65","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"66","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"67","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"68","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"69","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
"70","12.35","-1.51666666666667","1223.82848831763","1506.63114926494"
"71","13.5666666666667","-2.41666666666667","1218.82848831763","1501.63114926494"
"72","11.15","-1.15","1227.30848831763","1510.11114926494"
"73","11.1666666666667","-4.31666666666667","1224.82848831763","1507.63114926494"
"74","11.75","-2.93333333333333","1215.82848831763","1498.63114926494"
"75","12.4666666666667","-3.48333333333333","1220.82848831763","1503.63114926494"
"76","14.0333333333333","-0.0333333333333333","1220.26848831763","1503.07114926494"
"77","12.0333333333333","0.366666666666667","1225.32848831763","1508.13114926494"
"78","10.3333333333333","-3.18333333333333","1223.82848831763","1506.63114926494"
